Latitude,Longitude,text,person
11.5156145, 3.8656332,"I'm at Mtn Contact Centre - @mtn_care in Yaoundé, Région du Centre https://t.co/OtRN6bvHEu",JOOOOO ❤️🔥😌🇨🇲
2.40115781, 6.34810516,"Que faites vous ce samedi soir? 

#beach #plage #benin #beininvie #cotonou #vacation #vacay #vacances #ankaradresses #ankarastylesafrica #ankaraskirt #ankarafashion #insta #instagram #instaphoto #l4l @ Obama Beach,… https://t.co/JFybwP3yv3",JOOOOO ❤️🔥😌🇨🇲
11.52008825, 3.89255352,I'm at MTN Agence VIP in Yaoundé https://t.co/KMvSePYrbp,JOOOOO ❤️🔥😌🇨🇲
11.51754, 3.867172,"I'm at Boun’s Hotel And SPA in Yaoundé, Centre https://t.co/RXC0rkOnBc",JOOOOO ❤️🔥😌🇨🇲
11.51655025, 3.8769901,I'm at british teaching center https://t.co/C8SGMwB7Ar,JOOOOO ❤️🔥😌🇨🇲
11.52040726, 3.86124812,I'm at Poste Centrale in Yaundé https://t.co/9Ghls9h0A9,JOOOOO ❤️🔥😌🇨🇲
-3.969035, 5.386286,I'm at restaurant chez tantie Aba in Abidjan https://t.co/K6bnzptrtv,JOOOOO ❤️🔥😌🇨🇲
-3.96651997, 5.35572272,"I'm at Cap Nord in Abidjan, Lagunes https://t.co/lyzAn66Uiw",JOOOOO ❤️🔥😌🇨🇲
-3.995316, 5.309537,"I'm at Oishi in Abidjan, Lagunes https://t.co/4fMszazfTV",JOOOOO ❤️🔥😌🇨🇲
-4.00192354, 5.35609018,#LaSunday (@ Fondation Donwahi in Abiyán) https://t.co/0Fzq5LcNme,JOOOOO ❤️🔥😌🇨🇲
-4.013688, 5.32223534,#Brunch (@ Hotel Pullman Abidjan in Abidjan) https://t.co/7iSwkOJBiC,JOOOOO ❤️🔥😌🇨🇲
-3.27778, 5.12361,"Sun+ vitamine Sea! 

👗: topshop_by_bellange 
💍: valeri_christina 

#sunkissed #melanin #melaninpoppin #melaninqueen #africa #beach #beachdress #assinie #cotedivoire #225 #sea #plage #lagune #visiterlafrique… https://t.co/pki7g04gWk",JOOOOO ❤️🔥😌🇨🇲
-3.975489, 5.28905,"I'm at Churchill in Abidjan, Lagunes https://t.co/haj1AF5FN1 https://t.co/VDOdYXaoWr",JOOOOO ❤️🔥😌🇨🇲
-3.9539895, 5.3304105,I'm at Bushman Café in Abidjan https://t.co/yxQ5QFZG0f https://t.co/3apC4ECEwF,JOOOOO ❤️🔥😌🇨🇲
-4.07944529, 5.36193337,I'm at Station total autoroute (yopougon) in Abiyán https://t.co/ZFYC67yRG8,JOOOOO ❤️🔥😌🇨🇲
-5.29638889, 6.81111111,"📍Yamoussoukro 

Je ne pouvais arriver en #cotedivoire sans passer par #yamoussoukro afin d’admirer la plus haute et la plus grande basilique du Monde!

On te dit que c’est grand mais tu n’imagine pas jusqu’à ce que… https://t.co/QNVcKSz66K",JOOOOO ❤️🔥😌🇨🇲
-5.26492127, 6.8126113,"I'm at Gare UTB in Yamoussoukro, Lacs https://t.co/z5vhrzfLtr",JOOOOO ❤️🔥😌🇨🇲
-5.26641, 6.824816,"I'm at Bolikro au Cabri, Chez Wolf https://t.co/rHOKxDykGN",JOOOOO ❤️🔥😌🇨🇲
-5.2937349, 6.81197616,"I'm at Basilica of Our Lady of Peace of Yamoussoukro | Basilique Notre-Dame de la Paix de Yamoussoukro in Yamoussoukro, Lacs https://t.co/aujEElaNI7",JOOOOO ❤️🔥😌🇨🇲
-4.02218813, 5.35195602,"I'm at Gare UTB in Abidjan, Lagunes https://t.co/huZmKfg278",JOOOOO ❤️🔥😌🇨🇲
-3.96990519, 5.36744369,I'm at Chill Out Snack in Abidjan https://t.co/9wlBwnViQe,JOOOOO ❤️🔥😌🇨🇲
-4.01084, 5.25833,"Be the reason someone smiles. Be the reason someone feels loved and believes in the goodness in people. Roy T Bennet

Vacay is going pretty well people!
#abidjan m’accueille à bras ouverts et me garde bien 😍

From… https://t.co/LLNuXPfOeh",JOOOOO ❤️🔥😌🇨🇲
-3.9697, 5.27626,"I'm at Le Loft in Abidjan, Lagunes https://t.co/xgNJTuwLVk",JOOOOO ❤️🔥😌🇨🇲
-3.975489, 5.28905,"I'm at Churchill in Abidjan, Lagunes https://t.co/Qi0ATvCYWf",JOOOOO ❤️🔥😌🇨🇲
-3.98978852, 5.35906304,I'm at Zino Lounge in Abiyán https://t.co/868akGhZiv,JOOOOO ❤️🔥😌🇨🇲
1.2257, 6.1281,"📍Lomé 

Ce que j’aime avec les voyages c’est la découverte de nouveaux paysages, de nouvelles cultures mais surtout la (re) découverte de soi au contact de personnes « étrangères » qui au final révèlent ce que nous… https://t.co/c51YFaFrEX",JOOOOO ❤️🔥😌🇨🇲
-3.93097043, 5.25251441,"I'm at Félix Houphouët-Boigny International Airport (ABJ) in Abidjan, Côte d'Ivoire https://t.co/JYsBdJPZYo",JOOOOO ❤️🔥😌🇨🇲
2.61667, 6.48333,"The most important thing is to enjoy your life - to be happy - it's all that matters

#benin #portonovo #cotonou #vacay #peace #oldtown #instalife #instapic #instagram #insta #holiday #gram #visiterlafrique… https://t.co/giO8TY7Vos",JOOOOO ❤️🔥😌🇨🇲
11.5179, 3.8598,"Bare face everyday and my skin loves it!

J’ai pris la décision il ya environ 2 ans de stopper tout fond de teint et de me concentrer sur le soin de ma peau et ma formule gagnante est “less is more” 

En tant que… https://t.co/VWx2sROKgb",JOOOOO ❤️🔥😌🇨🇲
-3.9829798, 5.2952976,I'm at dipndip in Abiyán https://t.co/0ATNndURew https://t.co/fZ4Ba5fbX0,JOOOOO ❤️🔥😌🇨🇲
-3.93097043, 5.25251441,"I'm at Félix Houphouët-Boigny International Airport (ABJ) in Abidjan, Côte d'Ivoire https://t.co/19NX6qtZQt",JOOOOO ❤️🔥😌🇨🇲
11.54768066, 3.71495398,"I'm at Yaoundé Nsimalen International Airport (NSI) in Yaoundé, Cameroon https://t.co/3KRqZeT9EF",JOOOOO ❤️🔥😌🇨🇲
11.51754, 3.867172,"I'm at Boun’s Hotel And SPA in Yaoundé, Centre https://t.co/S0IJBHojQo",JOOOOO ❤️🔥😌🇨🇲
11.51499, 3.889625,I'm at The Burger Bar in Yaoundé https://t.co/GK6yesCRfn,JOOOOO ❤️🔥😌🇨🇲
11.5215683, 3.86879329,Thank you Jesus (@ Yaoundé in Central) https://t.co/snSc8CGyB4,JOOOOO ❤️🔥😌🇨🇲
