Latitude,Longitude,text,person
 9.03,38.74,ዘመንህን #በእግዚአብሔር_ቃል ከሰራኸው፤ የማይታየው ዓለም #ሰላም፣ #ደስታ፣ #እረፍት፣ #በረከት፣ #ጤና፣ #ብልፅግና፣ ወዘተ ፤ በሚታየው ዓለም ውስጥ… https://t.co/SvmdszmB36,Abiy Taddele (kiya)
 9.03,38.74,"#አማኝ ከሆንክ #የእግዚአብሔር_ሀይል ለአንተ #ለማዳን ይሰራልሃል።
#kiya_talk_show #Abiy_Taddele @ Addis Ababa, Ethiopia https://t.co/elehgVcPmW",Abiy Taddele (kiya)
 9.03,38.74,"#ETHIOPIA
እንደ አማኝ በአንድነት ለመቆም እና የሰላም ሰው ለመሆን ከምን ጊዜውም ይልቅ ጊዜው አሁን… https://t.co/hufKNN3aBZ",Abiy Taddele (kiya)
 9.03,38.74,"#ETHIOPIA
ከሚታየው ሁኔታ ይልቅ የማይታየው አምላክ የሚያስበው… https://t.co/SqV6Xll9su",Abiy Taddele (kiya)
 9.03,38.74,"#ዋ!_እጃችን_ገብቷል።
የቅርብ ወዳጅ መሆን ጥቅሙ እንግዲህ እዚህ ላይ ነው።
የፊታችን ቅዳሜ ሳምንት የካቲት 17/Feb 24 በደማቁ ተመርቆ ይለቀቃል።… https://t.co/BEaH2yhy4F",Abiy Taddele (kiya)
 9.01459536,38.75196962,"#ኢየሱስ_አማላጄ
============
የእግዚአብሔርን ቃል #በስምምነት፣ #በዘመቻ፣ #በአዋጅ፣ ወይም #በአመፅ ልንቀይረው አንችልም። ይልቁንም በእርሱ… https://t.co/xZZSryE0Pp",Abiy Taddele (kiya)
 9.01459536,38.75196962,"""እግዚአብሔርንም እያመሰገኑ በሕዝብ ሁሉ ፊት #ሞገስ ነበራቸው። ጌታም የሚድኑትን ዕለት ዕለት በእነርሱ ላይ ይጨምር ነበር።"" ሐዋ… https://t.co/GdsOTUFqyi",Abiy Taddele (kiya)
 9.01459536,38.75196962,"""#That_ye_might_walk_worthy_of_the_Lord unto all pleasing, #being_fruitful_in_every_good_work,… https://t.co/tIcf4B7Xgr",Abiy Taddele (kiya)
 9.01459536,38.75196962,"""የእግዚአብሔር መንፈስ፥ የጥበብና የማስተዋል መንፈስ፥ የምክርና የኃይል መንፈስ፥ የእውቀትና እግዚአብሔርን የመፍራት መንፈስ ያርፍበታል።
3፤… https://t.co/024tnnKNQR",Abiy Taddele (kiya)
 9.03,38.74,"""#ከነገድ_እና_ከቋንቋ ተዋጅተን #አንድ_ህዝብ መሆናችንን ለዓለም የምናሳይበት ጊዜ አሁን ነው።""

""ሀገራችን አሁን ላለችበት ሁኔታ መፍትሔ… https://t.co/6kECq8X79R",Abiy Taddele (kiya)
