Latitude,Longitude,Date,Text,Person,Original BBX,location,BBX method flag
38.796152,8.983055,Thu Jul 22 18:45:56 +0000 2021,Finalmente dopo 11 mesi esatti si torna in Italia per un pó di riposo. #Ethiopia https://t.co/Tw3ax1mQfA,cubasoyyo,38.796152 8.983055] [38.796152 8.983055] [38.796152 8.983055] [38.796152 8.983055,Addis Ababa Bole International Airport,True
38.7653,8.995,Thu Jul 22 19:19:16 +0000 2021,Play harder💉~👗 @shop_essentials___ 👞 @nike @ Addis Ababa Ethiopia https://t.co/k5RR2OB4GY,belberocks,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]],Ethiopia,False
38.77119037,9.03521982,Thu Jul 22 19:24:30 +0000 2021,Just posted a photo @ Danakil Desert Ethiopia https://t.co/vlkTei3YiX,ArmayeTours,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]],Ethiopia,False
38.7653,8.995,Thu Jul 22 21:12:38 +0000 2021,Me &amp; My SunSon Jah-I Building BlackLove Worldwide! #flyblup Famiillyy! #repatriation #wepatriation #maattamovement… https://t.co/V2MaFsD3ww,1MamaAfrica,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]],Ethiopia,False
38.763427,9.032626,Thu Jul 22 21:16:31 +0000 2021,#giveon #coversong #music https://t.co/eF471G5vEc,yareddoe,38.763427 9.032626] [38.763427 9.032626] [38.763427 9.032626] [38.763427 9.032626,Arat kilo,True
38.78274,8.991954,Fri Jul 23 01:37:22 +0000 2021,https://t.co/wxDHc9yXEX,Endale73419849,38.78274 8.991954] [38.78274 8.991954] [38.78274 8.991954] [38.78274 8.991954,Ramada Addis Ababa,True
38.687083,9.005566,Fri Jul 23 06:10:10 +0000 2021,https://t.co/EdFDqxBW2I,Shalisham1,38.687083 9.005566] [38.687083 9.005566] [38.687083 9.005566] [38.687083 9.005566,Morning Coffee Guesthouse,True
38.7653,8.995,Fri Jul 23 15:12:06 +0000 2021,GLORY BE TO MY KING... @ Addis Ababa Ethiopia https://t.co/Mb5b9AWf1o,RasAjai,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]],Ethiopia,False
38.843894,9.020454,Fri Jul 23 16:02:07 +0000 2021,Do you remember when you joined Twitter? I do! #MyTwitterAnniversary https://t.co/gigwozQX0G,TechalewN,38.843894 9.020454] [38.843894 9.020454] [38.843894 9.020454] [38.843894 9.020454,CMC,True
38.763427,9.032626,Fri Jul 23 17:51:15 +0000 2021,Exactly that means they chose death😂 https://t.co/V06eYruspi,yareddoe,38.763427 9.032626] [38.763427 9.032626] [38.763427 9.032626] [38.763427 9.032626,Arat kilo,True
38.801307,9.019796,Sat Jul 24 01:38:05 +0000 2021,Beyeaynet @Ethiopian @Landoforigins  #የኛሰፈር https://t.co/orsMFAA5lV,Teddyalem10,38.801307 9.019796] [38.801307 9.019796] [38.801307 9.019796] [38.801307 9.019796,Megenagna Circle,True
38.7653,8.995,Sat Jul 24 09:21:35 +0000 2021,Stay tuned for upcoming music video. Subscribe and share the YouTube channel on the @yemisme bio. @ Addis Ababa Et… https://t.co/TiugluiLG9,habtamuchernet1,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]],Ethiopia,False
38.761359,9.010246,Sat Jul 24 09:59:08 +0000 2021,#HappeningNow #DigitalTransformation #DigitalEthiopia One year of Digital Ethiopia in review @MinistryofInno2 https://t.co/JfpyeEI9dM,Odaw_g,38.761359 9.010246] [38.761359 9.010246] [38.761359 9.010246] [38.761359 9.010246,Hyatt Regency Addis Ababa,True
38.715797,9.064886,Sat Jul 24 20:32:33 +0000 2021,ሀገራችን ኢትዮጵያ ያለችበትን ችግር ተባብረን በአንድነት እና በፍቅር  እናሳልፍታለን ከኛ እሚጠበቀው መዋዳድ እና ተባብረን መቆም ነው:: ሌላውን ፍጣሪ ያቃል ይረዳናልም።እናሸንፋለን… https://t.co/HJGtIQdtOs,Addis73817239,38.715797 9.064886] [38.715797 9.064886] [38.715797 9.064886] [38.715797 9.064886,Gulele Botanical Garden,True
38.7653,8.995,Sat Jul 24 23:53:23 +0000 2021,Blessings king you are the light of the world 🌎 #emperorhaileselassie#readywheeltours #wewillgetyouthere @ Addis… https://t.co/VChFFi2zWz,readywheeltours,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]],Ethiopia,False
38.72729618,8.98645594,Sun Jul 25 03:41:09 +0000 2021,Just posted a photo @ Sarbet https://t.co/oDfBKwqADO,Brookyirga,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]],Ethiopia,False
38.796152,8.983055,Sun Jul 25 04:33:23 +0000 2021,As a black man to see the sheer number of people who look like me Jet setting around the world FAR AWAY from the… https://t.co/zBCWFtfZJr,kofi_nawee,38.796152 8.983055] [38.796152 8.983055] [38.796152 8.983055] [38.796152 8.983055,Addis Ababa Bole International Airport,True
