date,user,coordinates,text,place,bounding_box
Thu Jul 15 16:27:55 +0000 2021,dargie_abate,no coordinates,Allowing #TPLFisaTerroristGroup to get control of Northern Amhara region means allowing #MaikadraMassacre to happen… https://t.co/9VLLdoxVQy,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 16:28:59 +0000 2021,waaqa1,no coordinates,@AbiyAhmedAli Waggaa kuma mo’i,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 16:29:30 +0000 2021,tsegawtesfaye13,no coordinates,https://t.co/wHufj0VCCr,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 16:29:59 +0000 2021,tsegawtesfaye13,no coordinates,@nytimes The world must condemn this evil act. TPLF Recruiting and using childrens for war.#warcrime #TPLF… https://t.co/VF5VB3hhay,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 16:31:00 +0000 2021,tsegawtesfaye13,no coordinates,@JoeBiden The world must condemn this evil act. TPLF Recruiting and using childrens for war.#warcrime #TPLF  #actofevil,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 16:32:55 +0000 2021,abdilahi_kosar,no coordinates,@Alula_Solomon @addisstandard Day after day the government led by @AbiyAhmedAli is paving the way for repression a… https://t.co/AD27Jg2he5,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 16:33:46 +0000 2021,Odaw_g,no coordinates,@SPP_FI @FBedaso She may believe her Minnesota clique can represent all 40million Oromo nation,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 16:35:04 +0000 2021,BaHeni,no coordinates,#TPLFisaTerroristGroup #UnitedNations #USA is supporting,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 16:35:48 +0000 2021,EtopiaVoyages,no coordinates,Certificate of Appreciation for Tema Tour Ethiopia for the participation of Tourism Promotion Event in Djibouti..… https://t.co/FCEMrFTAlg,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 16:36:08 +0000 2021,abdilahi_kosar,no coordinates,@CNNConnect @tigistAA @finbarroreilly Day after day the government led by abiye ahmed is paving the way for repres… https://t.co/AUXw3VQ2iC,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 16:36:46 +0000 2021,Dawit7411,no coordinates,@Sassywagi No government body questioned them for that reporting. The right action from Ethiopian Media Authority… https://t.co/Mq74i3xMiL,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 16:36:59 +0000 2021,BaHeni,no coordinates,#jobiden is supporting terrorist groups https://t.co/pjPX9e97zS,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 16:38:07 +0000 2021,SitraKumel,no coordinates,18:34🌛 https://t.co/2NdQaQZB3m,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 16:38:23 +0000 2021,AdemHus63861931,no coordinates,#NewProfilePic https://t.co/FkhSlN7kal,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 16:38:24 +0000 2021,KamilIsmailfar1,no coordinates,Squad goals! - ...My Friends @AbdureSuleyman @Fuad@KamilIsmailfar1 ❤❤ https://t.co/3E5yKTbWy3,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 16:40:52 +0000 2021,ethiosamtam,no coordinates,ጥያቄው፤ ሰኞ ስንት ሰዓት ላይ ይጀምራል ነው?,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 16:41:06 +0000 2021,Ketema35741234,no coordinates,#TPLFisaTerroristGroup has been recruiting child soldiers as cannon fodders when attacking &amp; massacring #Amhara. It… https://t.co/8dUZPz1Rvk,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 16:42:12 +0000 2021,setotaw,no coordinates,@MARHEIR_GEBRYE @UN @UNICEF @EU_Commission @UN_Spokesperson @USAID @USEmbassyAddis @VP @JoeBiden @AUC But the UN an… https://t.co/4gNVMvUUNu,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 16:42:35 +0000 2021,tsegawtesfaye13,no coordinates,@martinplaut https://t.co/xq3AOKoT0h,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 16:43:19 +0000 2021,tsegawtesfaye13,no coordinates,@martinplaut https://t.co/0XpBhAk5lu,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 16:44:25 +0000 2021,AdemHus63861931,no coordinates,@AbiyAhmedAli  hi Dr abiy ahmed if you trust me i will help you to give some information about eeu,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 16:49:26 +0000 2021,Kalab24453215,no coordinates,https://t.co/c6JylbgVUo,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 16:50:32 +0000 2021,seyoum_teshome,no coordinates,@FarahMaalimM thank you very much for uncovering the #evil_intent of @POTUS @SecBlinken @USAmbUN @USAIDEthiopia… https://t.co/ngSMcROrpL,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 16:51:42 +0000 2021,TayeNani,no coordinates,ዲጄው ድሮ 2 ቢራ ጋብዘውት የሚፈልጉትን ዘፈን የሚያስከፍቱት ደንበኞቹ ሲመጡ 2 ቢራ ላከላቸውና  ስራዬን ልስራበት 😂😂,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 16:53:44 +0000 2021,fuqioda,no coordinates,@wointad Solidarity African Solutions for African Problems !,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 16:54:12 +0000 2021,rogersbyamukama,no coordinates,@UPL @OfficialFUFA @URAFC_Official @ExpressFCUganda Plan early &amp; don't be caught unawares,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 16:55:13 +0000 2021,kiru_bell,no coordinates,Meet #Taekwondo &amp; #Embroidery #Coach  as well as #Accounting #student Birtukan Shiferaw. She is #educating young pe… https://t.co/tvzZpEnyhn,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 16:57:03 +0000 2021,Zelalem59078912,no coordinates,Allowing #TPLFisaTerroristGroup to get control of Northern Amhara region means allowing #MaikadraMassacre to happen… https://t.co/mUuJEMfZp8,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 16:57:33 +0000 2021,Yilachew3,no coordinates,The world must condemn this evil act. #TPLF Recruiting and using childrens for war.#warcrime #TPLF  #actofevil https://t.co/wLCQewGsR5,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 16:58:37 +0000 2021,NaTofek,no coordinates,#TPLFisaTerroristGroup is recruiting arming &amp; deploying child  soldiers and The New York Times @nytimes featured a… https://t.co/N321cyVVNz,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 16:59:00 +0000 2021,NaTofek,no coordinates,#USA and #EU stop the double standard and condemn TPLF's criminal acts. Ethiopians said enough to… https://t.co/ZP0zXGXuEG,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 17:00:36 +0000 2021,Mekuria7,no coordinates,Amharas are under existential threat as #TPLFisaTerroristGroup continues its expansionist &amp; genocidal war against e… https://t.co/FtYp7cmujI,New Hankuk,[[[38.780604 9.017265] [38.780604 9.017265] [38.780604 9.017265] [38.780604 9.017265]]]
Thu Jul 15 17:01:17 +0000 2021,YohannesSilesh3,no coordinates,TPLFisaTerroristGroup  recruited and used children violating inter'al laws. #WolkaitIsAmhara #RayaIsAmhara #Ethiopia#ChildrenNotSoldiers,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 17:01:17 +0000 2021,Manny29384229,no coordinates,#TPLFisaTerroristGroup has been recruiting child soldiers as cannon fodders when attacking &amp; massacring #Amhara. It… https://t.co/CtFFE3eHnS,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 17:01:22 +0000 2021,Mekuria7,no coordinates,Many civilians have been killed by TPLF after z withdrawal of ENDF from Tigray. PM @AbiyAhmedAli &amp; ENDF has made z… https://t.co/wZ6trISm0f,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 17:01:57 +0000 2021,Kalab24453215,no coordinates,https://t.co/OZWqKf6s9K,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 17:01:59 +0000 2021,Mekuria7,no coordinates,During a brief recapture of #RayaIsAmhara areas #TPLFisaTerroristGroup has taken retaliation measures against ethi… https://t.co/PSYhuvy9oz,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 17:04:04 +0000 2021,Manny29384229,no coordinates,Allowing #TPLFisaTerroristGroup to get control of Northern Amhara region means allowing #MaikadraMassacre to happen… https://t.co/oKDQofbX0P,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 17:04:23 +0000 2021,Bigback84,no coordinates,@tontebriggs Do you blame them sapa dey on ground.,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 17:05:12 +0000 2021,seyoum_teshome,no coordinates,ከጥላቻና ሀሰተኛ ንግግር ጋር በተያያዘ ከአክቲቪስት ስዩም ተሾመ ጋር #ምን_ቀረ አዘጋጆች #Muaz_Jemal እና #ኩልስማ_ኑር ሞቅ ያለ ውይይት አድርገዋል! ዛሬ ምሽት ይጠብቁን… https://t.co/AK5RMuzjKj,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 17:05:19 +0000 2021,Bravofeleke1,no coordinates,@_AfricanUnion,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 17:05:46 +0000 2021,korebele52,no coordinates,#TPLFisaTerroristGroup is recruiting arming &amp; deploying child  soldiers and The New York Times @nytimes featured a… https://t.co/ctnsFIk7my,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 17:06:14 +0000 2021,Bravofeleke1,no coordinates,#UnityForEthiopia https://t.co/4mTPSA4Clp,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 17:06:22 +0000 2021,Manny29384229,no coordinates,Recruiting and using children as soldiers is prohibited under inter'al humanitarian law – treaty &amp; custom – and is… https://t.co/xBQGj65icP,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 17:06:31 +0000 2021,Bravofeleke1,no coordinates,#UnityForEthiopia https://t.co/UWh2abEfdz,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 17:06:48 +0000 2021,abebebirara,no coordinates,#TPLFisaTerroristGroup has recruited child soldiers as cannon fodders when attacking ENDF and #Amhara. It must be… https://t.co/fYbu9vXTCf,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 17:07:00 +0000 2021,NaTofek,no coordinates,TPLF the terrorist group in Ethiopia vows to wipeout Amharas from their ancestral lands #WolkaitIsAmhara and… https://t.co/XegaWfKV37,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 17:07:01 +0000 2021,Bravofeleke1,no coordinates,#UnityForEthiopia https://t.co/vUsLJU5Y1n,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
